ENGINE_POWER,VEHICLE_ID,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,AIR_INTAKE_TEMP,THROTTLE_POS,TROUBLE_CODES,TIMING_ADVANCE
1.4,car1,80.0,33.30,1009.0,49.0,59.0,25,NO_ERROR,56.9
1.4,car1,80.0,32.50,1003.0,52.0,59.0,25,NO_ERROR,56.5
1.4,car1,80.0,32.90,995.0,51.0,59.0,25,NO_ERROR,57.3
1.4,car1,80.0,32.50,1004.0,51.0,60.0,25,NO_ERROR,56.5
1.4,car1,80.0,32.90,1005.0,49.0,60.0,25,NO_ERROR,56.9
1.4,car1,81.0,32.90,1019.0,50.0,60.0,25,NO_ERROR,56.5
1.4,car1,81.0,33.30,1002.0,49.0,61.0,25,NO_ERROR,56.5
1.4,car1,81.0,33.30,1001.0,50.0,61.0,25,NO_ERROR,57.3
1.4,car1,81.0,33.30,1004.0,52.0,61.0,25,NO_ERROR,56.9
1.4,car1,81.0,32.90,1010.0,52.0,62.0,25,NO_ERROR,58.4
1.4,car1,81.0,34.50,1008.0,49.0,62.0,26,NO_ERROR,56.9
1.4,car1,81.0,34.50,1005.0,50.0,62.0,26,NO_ERROR,56.5
1.4,car1,81.0,34.10,1004.0,51.0,63.0,26,NO_ERROR,55.7
1.4,car1,81.0,34.90,998.0,53.0,63.0,26,NO_ERROR,56.1
1.4,car1,81.0,34.90,999.0,92.0,63.0,26,NO_ERROR,55.7
1.4,car1,81.0,37.30,1589.0,47.0,64.0,22,NO_ERROR,60.0
1.4,car1,81.0,26.70,2955.0,33.0,65.0,32,NO_ERROR,77.6
1.4,car1,82.0,36.90,1050.0,50.0,65.0,26,NO_ERROR,53.7
1.4,car1,77.0,29.40,1005.0,46.0,42.0,24,NO_ERROR,56.9
1.4,car1,79.0,36.50,1004.0,51.0,43.0,27,NO_ERROR,54.9
1.4,car1,79.0,31.00,1069.0,58.0,43.0,25,NO_ERROR,59.6
1.4,car1,79.0,32.20,1034.0,47.0,44.0,25,NO_ERROR,53.3
1.4,car1,79.0,30.20,1013.0,47.0,44.0,24,NO_ERROR,58.4
1.4,car1,79.0,29.00,1010.0,47.0,45.0,24,NO_ERROR,56.5
1.4,car1,79.0,29.00,1004.0,46.0,45.0,24,NO_ERROR,56.1
1.4,car1,79.0,29.00,1005.0,47.0,46.0,24,NO_ERROR,58.4
1.4,car1,79.0,29.00,1015.0,45.0,47.0,24,NO_ERROR,58.8
1.4,car1,79.0,29.00,1013.0,47.0,47.0,24,NO_ERROR,57.3
1.4,car1,79.0,29.40,1000.0,46.0,48.0,24,NO_ERROR,58.0
1.4,car1,79.0,29.40,1012.0,46.0,48.0,24,NO_ERROR,58.8
1.4,car1,79.0,29.00,1005.0,46.0,49.0,24,NO_ERROR,58.8
1.4,car1,79.0,30.20,1002.0,45.0,49.0,24,NO_ERROR,57.6
1.4,car1,79.0,29.80,999.0,46.0,50.0,24,NO_ERROR,57.6
1.4,car1,79.0,29.80,1000.0,45.0,50.0,24,NO_ERROR,57.6
1.4,car1,79.0,31.40,1002.0,45.0,51.0,25,NO_ERROR,57.3
1.4,car1,79.0,30.60,1002.0,45.0,51.0,24,NO_ERROR,58.8
1.4,car1,79.0,31.00,989.0,45.0,51.0,24,NO_ERROR,56.9
1.4,car1,79.0,30.60,1012.0,47.0,52.0,24,NO_ERROR,56.5
1.4,car1,79.0,30.60,1004.0,47.0,52.0,24,NO_ERROR,56.1
1.4,car1,79.0,30.20,1004.0,45.0,52.0,24,NO_ERROR,59.6
1.4,car1,79.0,29.80,1010.0,46.0,53.0,24,NO_ERROR,55.7
1.4,car1,79.0,30.20,1003.0,78.0,53.0,24,NO_ERROR,56.9
1.4,car1,79.0,25.50,1139.0,47.0,53.0,25,NO_ERROR,71.4
1.4,car1,79.0,27.10,1124.0,46.0,53.0,24,NO_ERROR,57.3
1.4,car1,79.0,29.80,1001.0,47.0,53.0,24,NO_ERROR,56.5
1.4,car1,79.0,30.60,999.0,47.0,53.0,24,NO_ERROR,58.0
1.4,car1,78.0,30.60,1005.0,47.0,53.0,24,NO_ERROR,57.3
1.4,car1,78.0,29.80,1003.0,46.0,54.0,24,NO_ERROR,57.3
1.4,car1,78.0,30.20,1007.0,47.0,54.0,24,NO_ERROR,56.9
1.4,car1,78.0,30.20,1006.0,47.0,54.0,24,NO_ERROR,58.4
1.4,car1,78.0,30.20,1015.0,48.0,55.0,24,NO_ERROR,57.6
1.4,car1,78.0,30.20,1015.0,45.0,55.0,24,NO_ERROR,58.8
1.4,car1,78.0,30.20,1010.0,47.0,55.0,24,NO_ERROR,57.6
1.4,car1,78.0,30.20,998.0,46.0,55.0,24,NO_ERROR,55.3
1.4,car1,78.0,30.20,1009.0,47.0,56.0,24,NO_ERROR,56.5
1.4,car1,78.0,30.20,995.0,46.0,56.0,24,NO_ERROR,57.6
1.4,car1,78.0,30.20,1007.0,45.0,56.0,24,NO_ERROR,56.9
1.4,car1,78.0,30.20,1012.0,46.0,56.0,24,NO_ERROR,56.1
1.4,car1,79.0,30.20,1005.0,47.0,56.0,24,NO_ERROR,56.9
1.4,car1,79.0,29.40,995.0,46.0,57.0,24,NO_ERROR,56.9
1.4,car1,79.0,30.20,1007.0,46.0,57.0,24,NO_ERROR,56.1
1.4,car1,79.0,29.80,1003.0,45.0,57.0,24,NO_ERROR,56.5
1.4,car1,78.0,30.20,1024.0,65.0,57.0,24,NO_ERROR,58.8
1.4,car1,78.0,34.10,1072.0,41.0,57.0,26,NO_ERROR,56.5
1.4,car1,78.0,35.70,1012.0,46.0,58.0,26,NO_ERROR,48.6
1.4,car1,79.0,29.80,1014.0,47.0,58.0,24,NO_ERROR,57.6
1.4,car1,79.0,30.60,1014.0,50.0,58.0,24,NO_ERROR,56.9
1.4,car1,79.0,30.60,1017.0,46.0,58.0,24,NO_ERROR,55.7
1.4,car1,79.0,30.20,1015.0,47.0,59.0,25,NO_ERROR,58.0
1.4,car1,79.0,30.20,1007.0,47.0,59.0,24,NO_ERROR,58.0
1.4,car1,79.0,30.60,994.0,47.0,59.0,24,NO_ERROR,56.5
1.4,car1,79.0,29.80,1014.0,45.0,59.0,24,NO_ERROR,58.4
1.4,car1,79.0,57.60,994.0,37.0,59.0,30,NO_ERROR,51.8
1.4,car1,79.0,25.50,1162.0,49.0,59.0,24,NO_ERROR,67.5
1.4,car1,79.0,29.40,1016.0,46.0,59.0,24,NO_ERROR,58.0
1.4,car1,79.0,30.60,1004.0,45.0,59.0,24,NO_ERROR,57.3
1.4,car1,79.0,31.80,1011.0,46.0,60.0,25,NO_ERROR,56.5
1.4,car1,79.0,52.50,1064.0,60.0,60.0,30,NO_ERROR,52.9
1.4,car1,79.0,37.60,1370.0,79.0,61.0,30,NO_ERROR,63.5
1.4,car1,79.0,26.30,1302.0,63.0,60.0,26,NO_ERROR,68.6
1.4,car1,79.0,28.60,1109.0,56.0,59.0,26,NO_ERROR,65.1
1.4,car1,79.0,24.70,1274.0,32.0,58.0,25,NO_ERROR,57.6
1.4,car1,79.0,23.10,1293.0,38.0,57.0,25,NO_ERROR,59.6
1.4,car1,79.0,27.50,1165.0,40.0,56.0,25,NO_ERROR,58.8
1.4,car1,79.0,24.70,1171.0,39.0,56.0,24,NO_ERROR,65.9
1.4,car1,79.0,18.40,1507.0,54.0,55.0,33,NO_ERROR,67.1
1.4,car1,78.0,21.60,2208.0,26.0,54.0,29,NO_ERROR,77.6
1.4,car1,78.0,44.70,2264.0,78.0,54.0,27,NO_ERROR,67.8
1.4,car1,79.0,47.50,1950.0,41.0,52.0,32,NO_ERROR,67.8
1.4,car1,80.0,36.90,1487.0,58.0,51.0,30,NO_ERROR,69.4
1.4,car1,80.0,32.90,1500.0,53.0,50.0,29,NO_ERROR,70.2
1.4,car1,80.0,18.40,1347.0,29.0,50.0,23,NO_ERROR,52.2
1.4,car1,80.0,18.00,1253.0,64.0,50.0,22,NO_ERROR,54.1
1.4,car1,80.0,40.00,1429.0,54.0,48.0,30,NO_ERROR,66.7
1.4,car1,80.0,31.80,1630.0,47.0,47.0,29,NO_ERROR,70.6
1.4,car1,80.0,31.40,1682.0,48.0,47.0,29,NO_ERROR,71.8
1.4,car1,80.0,17.60,1497.0,30.0,47.0,23,NO_ERROR,55.3
1.4,car1,80.0,20.00,1081.0,33.0,47.0,22,NO_ERROR,62.4
1.4,car1,81.0,24.30,970.0,43.0,46.0,23,NO_ERROR,59.6
1.4,car1,80.0,31.40,1863.0,31.0,46.0,25,NO_ERROR,72.2
1.4,car1,81.0,18.40,1166.0,32.0,46.0,22,NO_ERROR,59.2
1.4,car1,81.0,20.00,1077.0,35.0,46.0,22,NO_ERROR,62.7
1.4,car1,82.0,19.20,1105.0,35.0,46.0,22,NO_ERROR,49.0
1.4,car1,83.0,24.30,1046.0,37.0,46.0,23,NO_ERROR,61.6
1.4,car1,83.0,20.80,1082.0,57.0,45.0,23,NO_ERROR,47.8
1.4,car1,84.0,27.10,1412.0,48.0,45.0,26,NO_ERROR,62.4
1.4,car1,85.0,16.10,2205.0,54.0,44.0,25,NO_ERROR,66.7
1.4,car1,86.0,17.30,1835.0,28.0,43.0,24,NO_ERROR,70.2
1.4,car1,87.0,19.60,1071.0,28.0,44.0,22,NO_ERROR,64.7
1.4,car1,86.0,17.30,1329.0,89.0,42.0,23,NO_ERROR,68.2
1.4,car1,86.0,43.50,1903.0,43.0,41.0,31,NO_ERROR,68.2
1.4,car1,87.0,16.10,1781.0,53.0,40.0,24,NO_ERROR,48.6
1.4,car1,87.0,20.00,2405.0,42.0,40.0,29,NO_ERROR,79.6
1.4,car1,87.0,16.50,1520.0,77.0,39.0,23,NO_ERROR,51.0
1.4,car1,87.0,27.80,2503.0,30.0,38.0,30,NO_ERROR,72.2
1.4,car1,88.0,20.00,1668.0,27.0,39.0,25,NO_ERROR,75.7
1.4,car1,87.0,24.70,1008.0,67.0,39.0,23,NO_ERROR,66.7
1.4,car1,87.0,20.00,1081.0,34.0,39.0,22,NO_ERROR,61.2
1.4,car1,87.0,18.00,1091.0,32.0,39.0,22,NO_ERROR,63.5
1.4,car1,88.0,19.20,1108.0,32.0,39.0,22,NO_ERROR,62.7
1.4,car1,89.0,20.00,1078.0,78.0,38.0,22,NO_ERROR,63.9
1.4,car1,89.0,30.20,1398.0,34.0,38.0,28,NO_ERROR,67.1
1.4,car1,90.0,33.30,1908.0,65.0,36.0,32,NO_ERROR,72.5
1.4,car1,90.0,39.20,2567.0,51.0,36.0,33,NO_ERROR,69.4
1.4,car1,90.0,32.90,2349.0,51.0,35.0,31,NO_ERROR,72.2
